epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
227,9839.82,0.70414,0.56708,0.23215,0.79513,0.60465,0.634,0.38074,0.55734,0.63875,0.2306,0.000151336,0.000151336,0.000151336
228,10082.7,0.72819,0.56864,0.2431,0.79469,0.6036,0.63469,0.38171,0.55542,0.63809,0.22963,0.000147729,0.000147729,0.000147729
229,10324.3,0.73714,0.57583,0.23858,0.7981,0.60317,0.63572,0.38252,0.55429,0.63545,0.23284,0.000144161,0.000144161,0.000144161
230,10565.6,0.72826,0.56857,0.24389,0.79201,0.60833,0.63509,0.38252,0.55297,0.63758,0.23057,0.000140632,0.000140632,0.000140632
231,10806.7,0.73721,0.57405,0.24307,0.8013,0.60922,0.63984,0.38522,0.5524,0.63298,0.23185,0.000137143,0.000137143,0.000137143
232,11049.4,0.72943,0.55983,0.24011,0.80148,0.60751,0.63985,0.38521,0.55191,0.63539,0.23186,0.000133695,0.000133695,0.000133695
233,11291,0.71357,0.56615,0.23642,0.80054,0.60467,0.63921,0.38545,0.55397,0.62804,0.23045,0.000130287,0.000130287,0.000130287
234,11534.8,0.7295,0.57154,0.23681,0.80221,0.60675,0.63975,0.38694,0.55378,0.62573,0.22936,0.000126921,0.000126921,0.000126921
235,11778.7,0.74514,0.56098,0.23989,0.80191,0.60433,0.64062,0.38753,0.55361,0.62185,0.22987,0.000123596,0.000123596,0.000123596
236,12023.8,0.71728,0.57085,0.2303,0.80933,0.60345,0.64149,0.38852,0.55388,0.62142,0.23,0.000120313,0.000120313,0.000120313
237,12263.2,0.71596,0.57553,0.23657,0.81389,0.60604,0.64337,0.38888,0.55335,0.62491,0.22966,0.000117072,0.000117072,0.000117072
238,12502.1,0.72831,0.57489,0.24082,0.80621,0.61019,0.64238,0.38884,0.55347,0.62847,0.22872,0.000113873,0.000113873,0.000113873
239,12742.4,0.70447,0.56694,0.22924,0.80864,0.6098,0.63975,0.38809,0.55107,0.62894,0.22941,0.000110718,0.000110718,0.000110718
240,12981.3,0.73156,0.56765,0.23007,0.80395,0.60788,0.64012,0.38844,0.55243,0.62548,0.22989,0.000107605,0.000107605,0.000107605
241,13214.8,0.70955,0.56833,0.23679,0.79995,0.60873,0.63903,0.38796,0.55348,0.62027,0.22847,0.000104537,0.000104537,0.000104537
242,13447.5,0.72862,0.56097,0.23087,0.80144,0.60672,0.63957,0.38941,0.55184,0.61854,0.22969,0.000101512,0.000101512,0.000101512
243,13678.6,0.72759,0.56836,0.23814,0.79727,0.60885,0.63872,0.38887,0.55252,0.61622,0.23046,9.85311e-05,9.85311e-05,9.85311e-05
